id,Month,Avg,Max,Min
79a47311-1ffb-44d1-bd87-a1a9fb190f40,11,"6,3","10,3","2,1"
79a47311-1ffb-44d1-bd87-a1a9fb190f40,12,"1,1","4,8","-2,3"
630b0ecb-8651-476e-803d-b65f99f342a3,1,"5,7","11,2","0,3"
630b0ecb-8651-476e-803d-b65f99f342a3,2,"8,5","14,4","2,5"
630b0ecb-8651-476e-803d-b65f99f342a3,3,"12,0","18,2","6,0"
630b0ecb-8651-476e-803d-b65f99f342a3,4,"16,5","23,1","9,9"
630b0ecb-8651-476e-803d-b65f99f342a3,5,"20,8","26,9","15,2"
630b0ecb-8651-476e-803d-b65f99f342a3,6,"25,0","31,0","19,2"
630b0ecb-8651-476e-803d-b65f99f342a3,7,"27,0","33,1","21,8"
630b0ecb-8651-476e-803d-b65f99f342a3,8,"26,1","32,1","21,0"
630b0ecb-8651-476e-803d-b65f99f342a3,9,"23,0","28,9","17,9"
630b0ecb-8651-476e-803d-b65f99f342a3,10,"17,3","23,7","11,3"
630b0ecb-8651-476e-803d-b65f99f342a3,11,"11,2","17,7","5,0"
630b0ecb-8651-476e-803d-b65f99f342a3,12,"8,3","14,0","2,8"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,1,"-0,8","1,8","-3,5"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,2,"-0,4","2,2","-3,0"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,3,"1,4","5,5","-1,8"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,4,"4,6","8,5","1,0"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,5,"9,9","14,3","5,7"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,6,"13,5","17,7","9,6"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,7,"15,1","19,3","11,4"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,8,"14,5","18,6","10,8"
0d1ac2c5-e3d5-40b5-ad56-01f3d67710ab,9,"11,5","15,2","8,3"
